电影名称,上映日期,结束放映日期,票房
《恶棍天使》,2015.12.24,2016.2.13,64959.0
《失孤》,2015.3.20,2015.5.3,21617.9
《将错就错》,2015.3.5,2015.3.29,3937.4
《少年班》,2015.6.19,2015.7.19,5068.7
《既然青春留不住》,2015.10.23,2015.11.22,5020.3
《一路惊喜》,2015.2.6,2015.3.8,6974.6
《闯入者》,2015.4.30,2015.5.24,1003.6
《分手再说我爱你》,2015.12.24,2016.1.17,1273.2
《坏蛋必须死》,2015.11.27,2015.12.20,4705.4
《紫霞》,2015.12.11,2015.12.27,49.1
《爱情魔发师》,2015.7.17,2015.8.2,20.3
《简单爱》,2015.7.3,2015.7.19,21.7
《天将雄师》,2015.2.19,2015.4.6,74430.2
《一念天堂》,2015.12.31,2016.2.13,8279.5
《最美的时候遇见你》,2015.12.11,2015.12.27,156.2
《破风》,2015.8.7,2015.9.13,14529.1
《怦然星动》,2015.12.3,2016.1.10,15973.9
《百团大战》,2015.8.28,2015.10.11,41367.3
《前任2：备胎反击战》,2015.11.6,2015.12.20,25200.2
《冲上云霄》,2015.2.19,2015.3.29,15631.3
《万物生长》,2015.4.17,2015.5.24,14831.8
《探灵档案》,2015.3.7,2015.3.22,334.1
《浪漫天降》,2015.10.23,2015.11.8,785.2
《爱之初体验》,2015.8.7,2015.8.23,321.7
《全能奶爸》,2015.3.5,2015.3.22,83.0
